,geometry,crimes_2021,crimes_2022,crimes_2023,crimes_2020,gas_station,bar,liquor_store
1028,"POLYGON ((1442372 7461709, 1442372 7462209, 1442872 7462209, 1442872 7461709, 1442372 7461709))",0,0,0,0,8649.196837856874,9967.487358356262,10387.671614178591
909,"POLYGON ((1441372 7462209, 1441372 7462709, 1441872 7462709, 1441872 7462209, 1441372 7462209))",0,0,0,0,8115.194501326721,9723.730471672608,10091.21753465693
969,"POLYGON ((1441872 7462209, 1441872 7462709, 1442372 7462709, 1442372 7462209, 1441872 7462209))",0,0,0,0,8117.955028102952,9588.047058738852,9980.098647744933
1029,"POLYGON ((1442372 7462209, 1442372 7462709, 1442872 7462709, 1442872 7462209, 1442372 7462209))",0,0,0,0,8151.441951105373,9476.832725939985,9893.031219281229
846,"POLYGON ((1440872 7461209, 1441372 7461209, 1441372 7460752.351852242, 1441131.011196263 7460812.842522643, 1440990.8139946228 7460848.006049083, 1440965.8434171155 7460854.278429898, 1440893.425601902 7460852.661321368, 1440872 7460850.8957631225, 1440872 7461209))",0,0,0,0,9587.237427432678,11252.834706900832,11616.855325588736
847,"POLYGON ((1440872 7461209, 1440872 7461709, 1441372 7461709, 1441372 7461209, 1440872 7461209))",0,0,0,0,9139.845177350135,10828.301511223617,11185.98602544684
727,"POLYGON ((1439872 7461209, 1439872 7461709, 1440372 7461709, 1440372 7461209, 1439872 7461209))",1,0,0,2,9270.76834885078,11180.01294222216,11492.905985327927
787,"POLYGON ((1440372 7461209, 1440372 7461709, 1440872 7461709, 1440872 7461209, 1440372 7461209))",0,0,0,0,9191.950708200733,10994.198538461607,11329.456548067044
788,"POLYGON ((1440372 7461709, 1440372 7462209, 1440872 7462209, 1440872 7461709, 1440372 7461709))",0,0,0,0,8696.514115681015,10527.675706420981,10854.719287766064
848,"POLYGON ((1440872 7461709, 1440872 7462209, 1441372 7462209, 1441372 7461709, 1440872 7461709))",0,0,0,0,8641.421746922071,10354.306731714243,10704.888065886227
728,"POLYGON ((1439872 7461709, 1439872 7462209, 1440372 7462209, 1440372 7461709, 1439872 7461709))",0,0,0,0,8779.780505246164,10721.578412934832,11025.20898347273
729,"POLYGON ((1439872 7462209, 1439872 7462709, 1440372 7462709, 1440372 7462209, 1439872 7462209))",0,0,0,0,8289.870063067803,10267.024785261083,10560.472445440553
789,"POLYGON ((1440372 7462209, 1440372 7462709, 1440872 7462709, 1440872 7462209, 1440372 7462209))",0,0,0,0,8201.631405183138,10064.368338650058,10382.354066292573
849,"POLYGON ((1440872 7462209, 1440872 7462709, 1441372 7462709, 1441372 7462209, 1440872 7462209))",0,0,0,0,8143.191619409732,9882.87519757677,10225.603827882964
546,"POLYGON ((1438372 7460709, 1438372 7461209, 1438872 7461209, 1438872 7460709, 1438372 7460709))",0,0,0,0,10132.882595983758,12283.891841237888,12542.306398149696
667,"POLYGON ((1439372 7461209, 1439372 7461709, 1439872 7461709, 1439872 7461209, 1439372 7461209))",0,0,0,0,9375.624445023108,11384.769530974207,11675.495291448397
607,"POLYGON ((1438872 7461209, 1438872 7461709, 1439372 7461709, 1439372 7461209, 1438872 7461209))",0,0,0,0,9505.657351818247,11607.465923212625,11876.341718462
547,"POLYGON ((1438372 7461209, 1438372 7461709, 1438872 7461709, 1438872 7461209, 1438372 7461209))",0,0,0,0,9659.850394609522,11847.09048854131,12094.535746638981
668,"POLYGON ((1439372 7461709, 1439372 7462209, 1439872 7462209, 1439872 7461709, 1439372 7461709))",0,0,0,0,8890.429330260831,10934.922567163145,11215.41508114145
